Herb_ID,Herb_cn_name,chp_detail_url,dayi_detail_url,chp_filled_fields,dayi_filled_fields,filled_values
HERB005615,贯叶金丝桃,https://ydz.chp.org.cn/#/item?bookId=1&entryId=358,,UsePart|Properties|Meridians|Function|Indication,,"{""UsePart"": ""地上部分"", ""Properties"": ""辛，寒"", ""Meridians"": ""归肝经"", ""Function"": ""疏肝解郁，清热利湿，消肿通乳"", ""Indication"": ""用于肝气郁结，情志不畅，心胸郁闷，关节肿痛，乳痈，乳少。""}"
HERB005658,委陵菜,https://ydz.chp.org.cn/#/item?bookId=1&entryId=331,,Properties|Meridians,,"{""Properties"": ""苦，寒"", ""Meridians"": ""归肝、大肠经""}"
HERB005673,益母草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=457,,UsePart|Properties|Meridians|Function|Indication,,"{""UsePart"": ""地上部分"", ""Properties"": ""苦、辛，微寒"", ""Meridians"": ""归肝、心包、膀胱经"", ""Function"": ""活血调经，利尿消肿，清热解毒"", ""Indication"": ""用于月经不调，痛经经闭，恶露不尽，水肿尿少，疮疡肿毒。""}"
HERB005708,蜈蚣,https://ydz.chp.org.cn/#/item?bookId=1&entryId=567,,Properties|Meridians,,"{""Properties"": ""辛，温；有毒"", ""Meridians"": ""归肝经""}"
HERB005749,巫山淫羊藿,https://ydz.chp.org.cn/#/item?bookId=1&entryId=260,,Properties|Meridians,,"{""Properties"": ""辛、甘，温"", ""Meridians"": ""归肝、肾经""}"
HERB005779,飞燕草,,https://www.dayi.org.cn/cmedical/300850.html,,Toxicity|Function|Indication|Properties|Meridians,"{""Toxicity"": ""有毒"", ""Function"": ""种子有催吐、泻下作用。"", ""Indication"": ""种子：外用杀虫，治疥疮、头虱。根：外用治跌打损伤。"", ""Properties"": ""味辛、苦，性温，"", ""Meridians"": ""归肺、心、胃经""}"
HERB005889,豨莶草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=585,,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,,"{""Herb_latin_name"": ""SIEGESBECKIAE HERBA"", ""UsePart"": ""地上部分"", ""Properties"": ""辛、苦，寒"", ""Meridians"": ""归肝、肾经"", ""Function"": ""祛风湿，利关节，解毒"", ""Indication"": ""用于风湿痹痛，筋骨无力，腰膝酸软，四肢麻痹，半身不遂，风疹湿疮。""}"
HERB005937,前胡,https://ydz.chp.org.cn/#/item?bookId=1&entryId=418,,UsePart|Properties|Meridians|Function|Indication,,"{""UsePart"": ""根"", ""Properties"": ""苦、辛，微寒"", ""Meridians"": ""归肺经"", ""Function"": ""降气化痰，散风清热"", ""Indication"": ""用于痰热喘满，咯痰黄稠，风热咳嗽痰多。""}"
HERB005945,夏天无,https://ydz.chp.org.cn/#/item?bookId=1&entryId=440,,Properties|Meridians,,"{""Properties"": ""苦、微辛，温"", ""Meridians"": ""归肝经""}"
HERB006026,香加皮,https://ydz.chp.org.cn/#/item?bookId=1&entryId=405,,Herb_latin_name|UsePart|Properties|Meridians|Function,,"{""Herb_latin_name"": ""PERIPLOCAE CORTEX"", ""UsePart"": ""根皮"", ""Properties"": ""辛、苦，温；有毒"", ""Meridians"": ""归肝、肾、心经"", ""Function"": ""利水消肿，祛风湿，强筋骨""}"
HERB006045,香薷,https://ydz.chp.org.cn/#/item?bookId=1&entryId=408,,Meridians,,"{""Meridians"": ""归肺、胃经""}"
